record_id,country_of_origin,destination_country,origin_iso3,destination_iso3,year_of_migration,application_date,arrival_date,age,gender,marital_status,field_of_study,subfield,degree_level,prior_education_country,institution_type,institution_name,scholarship_type,scholarship_amount_usd,tuition_usd,living_cost_usd_monthly,funding_source,part_time_work_allowed,hours_worked_per_week,visa_type,visa_status,visa_expiry_date,language_test,language_score,gpa_4_scale,admission_decision,enrollment_status,duration_months,housing_type,on_campus_housing,dependents_count,nationality_status,region_origin,region_destination,application_channel,agent_name,travel_route,flight_cost_usd,covid_vaccination_status,health_insurance_provider,bank_balance_at_enrollment_usd,remittance_sent_usd,part_time_job_sector,student_id_external,notes
1,Peru,UniTED ArA BeMirATes^,PER,ARE,2005,2004-1 100:00,21-05-2005,27,Female,Marired,Education,FINANCE ,  Postdoc ,EGyPt,TEchNICaL,  National University ,NOnE??,0,"USD 42,841","USD2,235.00",Family??,yes,11,Training,APPRovEd,"MAY 02, 2010",ToeFl,117,3.28,Offer,Withdrawn,48, oFF-CaMPUS  ,F,0,REfUGeE,aMeRIcaS,snAia,Walk-iN,,PRE-UNI,"$1,591.00",FUllY vaccinATeD,bUpA," 74,125 USD ","£4,168",LoGiStiCs,S914881-2025,gap year expalined$
2,sri LaNKA,  isNGaProRE🙂  ,LKA,SGP,2008,12-04-2007,"Mar 12, 2008",22,fEMaLE,Widowed%, Psychology ,Genetics,bAcheloR,Jordan,cOmMunITy!,MetROpolItAn CoLLeGE,Private,"1,690","USD45,469.00", $516 ,miXed,no,11,rEsEaRch,aPProVED,2013-03, iELTS,6.1,3.45, oFFER ,Deferred,8,oFf-CAmpUs,F,0,aSyLum SeEkeR,aSIa,Asia,Agent  ,BrihgtFuture LLC  ,Sri-nRt-SIn,292,Unknown,aLlianz…,—,"USD13,692.00", tutoriNg,S326950,dOcs VerIfIeD.
3,Poland$,uNitEd ARAb EmirAtes,POL,ArE,2021,04-Sep-20,2021-05,20,NOn-BiNaRy,Single,Law,Bioinformatics,poStDoC,vEnezUEla ,public,  Northern Medical School  ,  unIvErsitY* ,"€27,949","32,938 USD","$2,039",loan,TRUE,18,Research,  On Hold  ,17-02-2025,uDolingo,97,3.58,Offjer,No-SHoW,31,oN-caMpUS,Y,1,DuAl,EurOPE, aSiA  ,ONline PoRTal,,POL-DXB-CDG-UNI,"1,089",Unvaccinated,Cigna,"USD 6,105","£7,210",lOGISTicS,S720593/2021,  viSkA itNeRviEW ScheDULeD??
4,  chiNA ,AuSTRaLia,CHN,AUS,2025,08-06-2025,07-08-2025,31,maLe,SInglE,PHysiCs,  Astrophysics  ,PDhh,  France, Research,cOaStAl BUsinEsS schoOL,priVAtE,"£10,859","USD15,667.00",1193,SElF-fUnDED,0,5,sTuDEnT,APpRoVed,2027-02,IELTS,6.6,3.46,rejeCT^,On Leave,53,On-campus,TRUE,2,Reudfgee,Asia,oCEANiA@,ageNt%,StudyBridge Ltj.d^,CHI-LHR-AUS!,"1,895",FullY vAccInATeD,Cigna ,"USD74,748.00","13,680.00🙂", IT Support,S605298,fE ewaievr gbRaNtEd followup
5,SOuth FArICa%,Japan,ZaF…,JPN,,15-11-2007,  06/2008 ,30, Female  , Widowed ,data SCieNce!,Graphic Design,MAtseR,saUDI ArABIa,CoMmUnity,International Institute of Science,nNOE,$0*,"£8,174","$1,756",SpoNSOr,F,5, rEsEARCH,pEndInG,"  Jul 22, 2090 ",iELtS,6.5,3.96,WAitlIst,GRaDuatED,33,  priVAte dORM  ,T,1,SingLE,aFriCa, AsiA  ,Email,,soU-JaP, USD272.00 ,  uNkNoWN , axA~ ,"44,474 USD!","13,587",rEtaIl,S962796~, medical insurance pending
6,zUgadna,  Hungary  ,UGa,HUN,2015,2015-09,03-13-2016,30,MaLE,Married,nURSing,Marketing,Master,Japan,Public,NOrTHErn MedICAL SChOOL, GOEVrnmeNT ," $7,439 ","$11,779","USD 1,785",Mixed,FALSE,12,  TRAinING ,UNDEr rEvieW  ,"  Mar 29, 2019",PTE,59,2.38,Waitlist^,gRADuATED@,39,Shared Apartment,yes,2,DUaL,AFRica,eUROpe,zoLnINE poRtAl,,UGA-HUN,"€1,400",Fully Vaccinated,AxA ,"USD 4,875","$4,361.00",Logistics  ,  s613425  ,bank statement ko
RID-7,Sri Lanka,Singapore,LKA  ,SGP,2008,03-10-2007,15-07-2008,26,Other, Divorced,Medicine,bIOINFOrmaTICs,Bachelor,Iraq,Private,Metropolitan College,Noen,0 USD," 20,576 INR ","1,103 USD",  Loan ,F,5, TRaininG,ApPROvEd,14-06-2013,duOlINgo,86,3.72,WAItLiSt,  dEfERrEd,22,HOmEsTay,Y,0,rEFUGee,aiSa,ASIa,agENt,StudyWise Group,SRI-SIN-SIN$,"33,075 INR",Partially Vaccinated*,lOCaL Plan,"USD34,045.00",611,Tutoring🙂,S445105, medical insurance pending
8,FRaNCe,hoNG KoNg,FRA#,KHG^,2023,16-07-2022 00:00,27-12-2022,23,NOn-biNary,MARrIeD,eCONOMicS…,Civil,MaSTEr,Japan,Public,State Research University,nOnE,0 USD,"€35,178",Nil,Family,FALSE,3, eXCHaNgE,apPrOvED# ,15-Oct-23, TOEFL,107,3.71,Reject  ,GRAdUAteD,21, ON-CamUps  ,No,1,ASyLUm SeEKER,eUrOPE,  Asia  ,wAlk-in,N/A,fRAH-on,"1,206 USD",Unkvnwon,AxA,"21,144 USD","13,589.00",hEaLthCARe ,S419562/2024~,DOCs VerifIeD.
9, mAlaYSiA  ,CANAda,MYS,can,2008,02-May-07,2008-04,25,  Non-binary ,Single🙂, BIoLogy  ,MeChaNicaL,BacheloR, SYRia,tecHnICal,City Polytechnic,None,$0," $17,464 ",£729,SPONsor,1,25,Student,apProveD,Jul-11,TOEfl,72,2.48,Reject,No-show??,31,Shared Apartment,N,2,Asylum Seeker ,Asia!,amERiCAs ,emAil,,MAL-CAN,"€1,137",UNKnoWN,Cigna,"46,449 INR","9,577",None,s512454,banK STatEmenT ok
10,HCINA,uNIteD StateS,CHN, USA  ,2012,12-05-2011,,31,MaLE,  mARriEd , buSINeSS  ,gEnetIcS,Bachelor  ,camerooN, Pbulic  , Metropolitan College ,None, £0 ,"31,641 INR^","€1,513",SeLF-FukNdde,TRUE,18,  TRAINinG,apprOVEd🙂,21-01-2014,TOEFL$,92,2.53,Conditional Offer*,on LeAVe,6,On-campus,0,0, STAteLESs  ,aIsa,Americas,ONlinE Portal,, CHI-DXB-UNI ," USD 1,821 ",Fully vacCInAted*, BuPA,"51,331.00","6,294 INR",logISTiCs,S474453,GAp YEar ExpLAineD
11,Lebanon,New weZaland, LBN,nzl,2025,11-03-2025,07-14-2025,25,OTher, Divorced~ ,Public Health,Microeconomics,Master,Cameroon,Community,CoAstAL BUsiNess SchOol,nOne,USD0.00,"£59,246@", 504 USD ,fAmily,N,7,stuDent,APProvED@,Jan-30,PTE,48,2.63,Conditional Offer  ,wIThdRaWn,25,sHAreD apARtMENT,yes,2,Stateless,Asia,Oceania,Email,GlobalEdu Inc.,leB-Hkg-NEw,1685, pARtIaLLy VaCCiNAtEd,AXA,"$21,307.00","$2,713",None^,S748213_2022@,feE wAIVer GRaNTED
12,FRANCE@,Italy ,fRA,ITA%,2009,18-12-2008,12-Apr-09,22,Female…  ,Married,CHEMIstrY,Networks,Master ,Philippines,Public,Globlan Tech University,noNe,0,"€50,174","USD1,448.00",  FaMILy,N,7,Research,Approved,04-04-2014,tOEfL,91,3.09,  Waitlist ,GRaduatde,33,PRIvATe doRm,N,1,sTateLesS,eUROPe,europe,Email,ScholarsHub Group,  FRA-ITA ,13400,Partially Vaccinated,axA!,N/A,10142,RETAiL,S716385/2024,feew aiver granted
13, Chile,United Kingdom,CHL ,GBR,2015,10-08-2014,14-Mar-15,22,Male,Divorced,Architecture,AI, maSTEr, Russia,PriVATE,International Institute of Science,noNe,£0,"47,306 USD",1514,  lOAN ,0,11,ReseARch,aPPROved,16-Nov-15,TOEFL,111,2.29,WAiTlIsT,no-sHOw%,49,sharED aPARtMEnt,0,20,ASYLUM SEeKeR,ameriCaS,Europe,onLInE POrTal^,,CHI-UNI,"USD 2,430",partiAlLy vacCinateD,BpUag  ,"USD 37,123"," $7,777.00 ",IT Support,S447869 ,gap year explained
14, rUssiA  ,United States,RUS ,  USA,2017,12/2016…,  10/2017,30,malE,SINGLe,PSycHoLoGY@,  soCIAl THeoRy ,cerTIfiCatE,Italy,PRiVAte^,NorTherN meDIcaL sChOol,GovERNmEnT@,"20,976",," £1,408 ",  Mixed ,Yes,0,StUdEnt,Approved,18-06-2021,tOEFL  ,78,2.26,Reject,  NO-ShWO  ,38,Shared ApARtMENT,Y,0,Dual , eUrOpE, Americas!,agenT^  ,,RUS-DOH-UNI,$218.00%,FullyV accinated,Aetna,"€67,587","8,922 INR", IT Support  ,S335423-2023,IElts RE-TaKE advIsEd…
15,south AfRica,Belgium ,ZAF,BEL,na,01-22-2010,07-08-2010,34,  fEmAel,WidOWeD,lAW ,Electrical,pHD  ,tUrKEy,Research,meTroPolItan CollegE ,gOvERnMENt,20715%,"£14,179","€1,878",Loan,T,10, reseaRch,Approved,23-10-2012,dUoliNGO,126,2.98,Reject,Deferred,33,Hmoestay,yes,2,dUla,africA,eruOPE,Emali…,, SOU-AMs-ICn-Bel,€813,Unknown,ALLiAnZ,"USD56,856.00","£10,126",LoGistics,s441315/2025!,bank statement ok%
16,Preu🙂,Poland,pRe,POL,2013,Jan-13,"Jul 22, 2013",28,maLE, Single  ,eduCAtIoN,cUrRicUlUM sTuDiES,pHd,Germany*,  Public  ,International Institute of Science,Private,"$1,579","$27,364","1,333",Loan,yes,19,  ExChANge ,UnDEr rEVIEW,Apr-17,IeLTs,8,2.63,  REJECT,wITHDrawn,34,Private Dorm,1,0,Stateless,  aMErIcaS ,Europe,onliNE PoRtaL,Nil,PER-IST-AMS-POL  ,"USD 1,801",Unknown,aLlAinZ,"$48,355.00","$10,606.00",NOnE,  s956573  ,bakn statement ok%
17,Mongolia,Japan,NMG,JPN,2021,2021-03,21-01-2022,18,Non-binary,MarRIEd, ecOnOmIcS,Curriculum Studies,DIPLOmA,BaNgLADesh,Prviatea,  INtERnaTIOnal iNStiTuTe oF sCiEnCE ,UnIveRSity,"22,707"," USD 13,552 ", 560…,  FaMilY ,Y,12,TRAiNIng,Pending,"Jul 29, 2026 00:00",IeltS,7,3.49,  Conditional Offer ,No-sHOw,39,PrIVAte DorM,Yes,0,  StAteless  ,Asia,aSIA?? ,  Email ,EduLink Pvt Ltd,MON-JAP@,USD 755$,fuLl YVACciNateD,NoNe,"£61,248","USD 11,291",Food Service,  s116301~🙂  ,lATE submisSIoN
18,japAN??,finland,JPN ,  FIN ,2009,23/09/2008??,24-Aug-09,33,Male, Divorced ,Physics,fInacNqE,Master??,Ukraine,pUBlIC, Central Arts Academy ,None,0,Nil,"USD1,637.00",scHolarShip,0,1,exCHAnGE,apProVED,2014-03,zUDolInGo,112,3.51,Offer,ON LeavE,52,Private Dorm,1,2,  sINgLE ,AsiA,  Uerope  ,Agent,CampusWordl,JAP-DXB-FIN,"£1,520",Fully Vaccinated,  AXA,"48,194.00",11622,Tutoring,S813967_2024, medical insurance pending 
19,moNGOlIA,Spain,MNG,ESP,2011,01-12-2010 00:00,29/Jun/2011!,24,Other,dIvoRcEd,BIoLGoyx,Bioinformatics, PhD! ,FRANce,Community,National University, NoNe#,0,"USD 33,613"," $1,323 ",sElf-FUnDED,T,15,reSeaRCh,Approved,"jnA 23, 2013",duOliNGo,107,2.95,Offer,Withdrawn,60,oFF-CAmPUS,FALSE,2,Single,Asia,eUrOPE,AGent,UniApth InC.,MON-DOH-CDG-SPA,"USD2,483.00",partiaLly VacCiNAteD,ALliANZ%,"50,248 INR","$4,469.00",Food Service,S278055, fee waivre granted#  
20,India,uNitED STATes,IND,uSA,2008,09-09-2007,17-02-2008,28,Other,Widowed,Nursing,Nteworks, BACHELor ,Mroocco,pRIVate,City Polytechnic,UNIversity!,"24,633 INR","23,680","USD 1,370",Mixed,F,22,  ReseArcH,ePnding,  01-30-2012  ,pTe ,59,2.92,  Offer  ,wiThDRAWN,26,pRIvATE DoRm,Y,1,Single,sAia,AMeRIcAS*  ,EmAiL,,IND-FRA-UNI,866,uNKNowN$,  Bupa,"67,206","$3,450",REtaIL,  S406800/2023 ,IELTS re-take advised
21,Brazil,pORtUgAL,BRA,  PRT,2011,2010-11,12-24-2010,31,  Non-binary…,Married ,arcHIteCturE,URabN plAnnINg,Bachelor~,  chiLE  ,Private  ,METRPoOmlItan COlLeGE,None, 0 USD# ,"52,316",623, sElF-FUnDED ,no,21,STudeNt,exiPred,15-03-2014,Duolingo,86,2.32,Waitlist,NO-SHow%,6,Private Dorm,N,0,ReFUgeE#, Americas* ,Europe,aGeNt  ,,BRA-DOH-POR,$828.00,UnkNOwn, Cigna  ,"13,821 USD","USD 9,521",Logistics,s223994,Docs verified.
